FID,location_id,file_id,sattag_program,device_id,tag_type,common_name,release_site,state_country,age_class,sex,timestamp,lon,lat,MESSAGE_COUNT,NSATS_DETECTED,NSATS_TRANSMITTED,GPS_MODE,PSEUDORANGES,MAX_CSN,RESIDUAL,TIMESHIFT,SUBMITTED,NSATS_HEALTHY,NBITS,DELETED,V_MASK,KM_FROM_HOME,EST_SPEED,geom,colour
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2577,1,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-05T21:19:52Z,136.9358,-13.6332,1,9,8,3,9 7744 24 239b 10 34d9 29 4c69 27 5bf8 12 1949 1 5fee 2 4201,40.5,11.2,-2.2,2010-07-08T02:55:20Z,8,15,,0,62.344,0.5,POINT (136.935821533203 -13.6331796646118),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2578,2,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-05T21:40:08Z,136.9321,-13.629,1,10,8,3,1 28d8 24 6a6 30 6810 9 f31 27 5835 10 4f20 29 4fb2 2 478b,39,8.3,-2.1,2010-07-08T14:56:18Z,8,15,,0,62.348,0.51,POINT (136.932144165039 -13.6290397644043),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2579,3,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-05T22:00:50Z,136.9279,-13.6249,2,9,8,3,24 2aec 21 1ad5 29 4d79 9 6b61 12 2050 10 3a07 1 6f43 30 263c,39,6.9,-2.2,2010-07-08T14:56:18Z,8,15,,0,62.315,0.49,POINT (136.927947998047 -13.6249198913574),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_257a,4,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-05T22:20:19Z,136.9246,-13.6214,3,8,8,3,24 5b9d 21 1e7a 29 1789 12 670b 1 62ff 9 84 10 3c95 30 108e,39,8,-2.7,2010-07-08T14:56:18Z,8,15,,0,62.313,0.39,POINT (136.924575805664 -13.6213598251343),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_257b,5,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-05T23:00:14Z,136.9214,-13.6154,3,8,8,3,12 3b71 21 114e 29 3e86 31 1eab 1 65b9 10 dee 30 7c3e 24 14a4,40.5,10.9,-2.2,2010-07-08T14:56:18Z,8,15,,0,62.512,0.27,POINT (136.921371459961 -13.6154003143311),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_257c,6,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-05T23:21:13Z,136.9207,-13.613,3,7,7,3,21 6192 1 413a 30 4b09 10 3ce9 29 b1a 24 e38 15 3a52,37.5,8.7,-2.7,2010-07-08T14:56:18Z,7,15,,0,62.642,0.23,POINT (136.920715332031 -13.6130199432373),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_257d,7,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-05T23:40:52Z,136.9211,-13.6105,2,8,8,3,1 3926 12 3381 30 37b4 15 759b 29 3fa2 10 2dc6 18 389e 31 46b,38.5,6.7,-2.1,2010-07-08T14:56:18Z,8,15,,0,62.863,0.16,POINT (136.921112060547 -13.6105499267578),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_257e,8,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T01:11:32Z,136.9236,-13.6068,3,7,7,3,29 17d8 15 4ce8 16 629f 18 7794 21 5b68 31 5464 24 60a2,39.5,11.3,-2.2,2010-07-08T14:56:18Z,7,15,,0,63.344,0.21,POINT (136.923599243164 -13.6068201065063),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_257f,9,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T01:24:32Z,136.9253,-13.6052,3,9,8,3,29 57a2 24 37b8 31 4528 16 480a 18 4a74 22 61a8 1 6cfb 15 5ee4,40,6.2,-2.2,2010-07-08T14:56:18Z,8,15,,0,63.598,0.32,POINT (136.925277709961 -13.6052303314209),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2580,10,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T01:59:56Z,136.9279,-13.5997,1,11,8,3,26 7ec9 29 5b00 22 61fb 16 7bb3 1 138f 24 1bc6 21 310 15 5465,41,10.8,-2.7,2010-07-08T14:56:18Z,8,15,,0,64.224,0.2,POINT (136.927856445313 -13.5997200012207),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2581,11,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T03:12:05Z,136.9301,-13.5973,1,9,8,3,22 243e 26 384a 6 392c 16 72bd 18 3112 21 7d8e 29 55de 3 3795,37.5,5.7,-2.7,2010-07-08T14:56:18Z,8,15,,0,64.584,0.21,POINT (136.930053710937 -13.5972700119019),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2582,12,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T03:26:10Z,136.9313,-13.5951,1,8,8,3,26 413c 16 54f8 21 6fd2 3 42d7 14 43f8 22 98e 6 2033 18 29be,40.5,8.9,-2.2,2010-07-08T14:56:18Z,8,15,,0,64.853,0.31,POINT (136.93132019043 -13.5950698852539),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2583,13,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T03:46:08Z,136.9326,-13.5922,1,7,7,3,26 7469 18 420a 3 22d 22 243c 6 1c12 16 653b 21 3248,37.5,6.6,-2.2,2010-07-08T14:56:18Z,7,15,,0,65.169,0.19,POINT (136.932556152344 -13.5922298431396),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2584,14,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T05:18:04Z,136.9305,-13.5878,2,10,8,3,32 5aa2 19 6a70 3 1cbd 6 51e4 21 2a58 14 1625 31 410 26 29da,37.5,11.9,-2.2,2010-07-08T14:56:18Z,8,15,,0,65.357,0.17,POINT (136.93049621582 -13.5877799987793),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2585,15,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T05:21:16Z,136.9307,-13.5874,2,9,8,3,6 15dc 3 72dc 19 5bed 32 4630 22 3b1 14 4e98 26 5198 16 3096,40,2.6,-2.2,2010-07-08T14:56:18Z,8,15,,0,65.403,0.26,POINT (136.930725097656 -13.587420463562),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2586,16,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T05:40:12Z,136.9303,-13.5848,1,7,7,3,6 2181 3 669f 19 6e95 22 1c36 14 1965 32 5452 16 6ccb,39.5,4.3,-2.2,2010-07-08T14:56:18Z,7,15,,0,65.578,0.21,POINT (136.930297851563 -13.5847597122192),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2587,17,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T06:44:08Z,136.9288,-13.5799,1,9,8,3,31 7a92 23 29e9 32 207b 19 c1a 3 6ef8 14 6c9a 11 5942 22 494,38.5,8.8,-2.7,2010-07-08T14:56:18Z,8,15,,0,65.848,0.09,POINT (136.928771972656 -13.5798597335815),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2588,18,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T08:22:14Z,136.9279,-13.5784,1,7,7,3,32 6684 31 594 20 4c08 11 7c85 16 2182 23 1dad 13 b36,38.5,7.5,-2.7,2010-07-08T14:56:18Z,7,15,,0,65.9,0.03,POINT (136.927886962891 -13.5783596038818),#98F461
aodn_nt_sattag_hawksbill_gps_location_data.fid-1df0cabe_18b818b1dc0_2589,19,1,tu51,tu51-207-09,SMRU GPS SRDL tag,Hawksbill turtle,"North East Island, Groote Eylandt",Northern Territory,adult,female,2009-08-06T10:10:42Z,136.9278,-13.5771,1,6,6,3,16 49a6 32 7688 25 32d4 23 267e 3 3798 7 3ba3,35,7.8,-2.8,2010-07-08T14:56:18Z,6,15,,0,65.995,0.02,POINT (136.927795410156 -13.5770702362061),#98F461
